id,shares
29733,3262.0
29734,3262.0
29735,3262.0
29736,3262.0
29737,3262.0
29738,3262.0
29739,3262.0
29740,3262.0
29741,3262.0
29742,3262.0
29743,3262.0
29744,3262.0
29745,3262.0
29746,3262.0
29747,3262.0
29748,3262.0
29749,3262.0
29750,3262.0
29751,3262.0
29752,3262.0
29753,3262.0
29754,3262.0
29755,3262.0
29756,3262.0
29757,3262.0
29758,3262.0
29759,3262.0
29760,3262.0
29761,3262.0
29762,3262.0
29763,3262.0
29764,3262.0
29765,3262.0
29766,3262.0
29767,3262.0
29768,3262.0
29769,3262.0
29770,3262.0
29771,3262.0
29772,3262.0
29773,3262.0
29774,3262.0
29775,3262.0
29776,3262.0
29777,3262.0
29778,3262.0
29779,3262.0
29780,3262.0
29781,3262.0
29782,3262.0
29783,3262.0
29784,3262.0
29785,3262.0
29786,3262.0
29787,3262.0
29788,3262.0
29789,3262.0
29790,3262.0
29791,3262.0
29792,3262.0
29793,3262.0
29794,3262.0
29795,3262.0
29796,3262.0
29797,3262.0
29798,3262.0
29799,3262.0
29800,3262.0
29801,3262.0
29802,3262.0
29803,3262.0
29804,3262.0
29805,3262.0
29806,3262.0
29807,3262.0
29808,3262.0
29809,3262.0
29810,3262.0
29811,3262.0
29812,3262.0
29813,3262.0
29814,3262.0
29815,3262.0
29816,3262.0
29817,3262.0
29818,3262.0
29819,3262.0
29820,3262.0
29821,3262.0
29822,3262.0
29823,3262.0
29824,3262.0
29825,3262.0
29826,3262.0
29827,3262.0
29828,3262.0
29829,3262.0
29830,3262.0
29831,3262.0
29832,3262.0
29833,3262.0
29834,3262.0
29835,3262.0
29836,3262.0
29837,3262.0
29838,3262.0
29839,3262.0
29840,3262.0
29841,3262.0
29842,3262.0
29843,3262.0
29844,3262.0
29845,3262.0
29846,3262.0
29847,3262.0
29848,3262.0
29849,3262.0
29850,3262.0
29851,3262.0
29852,3262.0
29853,3262.0
29854,3262.0
29855,3262.0
29856,3262.0
29857,3262.0
29858,3262.0
29859,3262.0
29860,3262.0
29861,3262.0
29862,3262.0
29863,3262.0
29864,3262.0
